Kategori,Spørsmål,Score,Kommentar
Problemløsning og marked,"Hvor godt er problemet/behovet/dagens situasjon beskrevet, inkludert dagens alternative løsninger?",2,"Problemet med unødvendig kjøring for å finne ledige parkeringsplasser er klart definert, og løsningen med et IoT-basert system er godt beskrevet. Det er nevnt at dagens løsninger er kostnadskrevende og komplekse, men det kunne vært mer detaljert informasjon om hvordan eksisterende løsninger fungerer og hvorfor de ikke er tilstrekkelige. Dette ville gitt en mer omfattende forståelse av behovet for den nye løsningen."
Problemløsning og marked,Hvor godt er løsningsbeskrivelsen beskrevet og er den tydelig avgrenset?,3,"Løsningsbeskrivelsen er godt beskrevet og tydelig avgrenset. Søknaden gir en klar forståelse av hvordan løsningen fungerer, dens unike egenskaper, og hvordan den skiller seg fra eksisterende løsninger på markedet. Det er også tydelig hvordan løsningen skal implementeres og hvilke problemer den adresserer."
Problemløsning og marked,Hvor godt er FoU-utfordringer knyttet til løsningen beskrevet?,1,"Søknaden gir en overfladisk beskrivelse av FoU-utfordringene knyttet til løsningen. Det er nevnt at produktet er egenutviklet og IoT-basert, men det mangler en dypere analyse av spesifikke forsknings- og utviklingsutfordringer som må overkommes for å realisere prosjektet. Det er heller ikke tydelig hvordan disse utfordringene skal adresseres gjennom prosjektet."
Problemløsning og marked,Hvor godt er det forklart hvorfor FoU-utfordringer ikke er løst tidligere?,1,"Søknaden gir ikke en tydelig forklaring på hvorfor FoU-utfordringer ikke er løst tidligere. Det nevnes at tilsvarende løsninger er kostnadskrevende og komplekse, men det er ingen detaljert redegjørelse for hvorfor disse utfordringene ikke har blitt adressert tidligere av andre aktører. Det mangler en dypere analyse av tidligere hindringer og hvordan prosjektet nå har en unik tilnærming til å løse dem."
Problemløsning og marked,Hvor godt er dagens konkurrenter og konkurransebilde beskrevet?,1,"Søknaden gir en svært begrenset beskrivelse av konkurransebildet. Den nevner kun risikoen for å bli piratkopiert i Asia og hevder at produktet er unikt, uten å gi en grundig analyse av eksisterende konkurrenter eller markedsforhold. Det mangler detaljer om direkte konkurrenter og hvordan produktet skiller seg fra andre løsninger på markedet."
Problemløsning og marked,Hvor godt beskrevet er forskjellene og forbedringene fra dagens alternativer?,2,"Søknaden beskriver forskjellene og forbedringene fra dagens alternativer ved å fremheve at deres løsning er kostnadseffektiv, modulbasert, og open source, i motsetning til eksisterende proprietære og kostbare løsninger. Det nevnes også at produktet er mindre plasskrevende og enklere å administrere. Imidlertid kunne beskrivelsen vært mer detaljert med konkrete sammenligninger og eksempler på hvordan deres løsning overgår spesifikke konkurrenter."
Problemløsning og marked,Hvor tydelig er de unike aspektene ved løsningen beskrevet (det må være vesentlige forskjeller fra dagens løsninger)?,2,"Søknaden beskriver en løsning som kombinerer egenutviklet IoT-basert hardware og software med modulbaserte komponenter, noe som skiller seg fra eksisterende løsninger ved å være mindre kostnadskrevende og mer brukervennlig. Det unike aspektet ved å være ""open source"" og produsert i Norge gir også en differensiering fra proprietære, importerte produkter. Imidlertid kunne beskrivelsen vært mer detaljert for å tydeliggjøre de teknologiske forskjellene og innovasjonens konkrete fordeler i forhold til eksisterende løsninger."
Kapning,"Hvor godt er den kortsiktige effekten av prosjektresultatet for selskapet beskrevet? (kunder, inntekt, arbeidsplasser o.l.)",1,"Søknaden gir en begrenset beskrivelse av kortsiktige effekter for selskapet. Det nevnes at målet er å selge 1000 enheter, men det mangler konkrete detaljer om hvordan dette vil påvirke inntekter, kundebase eller sysselsetting på kort sikt. Det er også lite informasjon om hvordan prosjektet vil bidra til umiddelbar vekst eller utvikling i selskapet."
Kapning,"Hvor godt er den langsiktige effekten av prosjektresultatet for selskapet beskrevet? (kunder, inntekt, arbeidsplasser o.l.)",2,"Søknaden beskriver noen langsiktige mål, som å bli en ledende leverandør i vesten og å ansette flere personer, men mangler detaljer om hvordan disse målene konkret vil påvirke selskapets inntekter og kundebase. Det er også nevnt planer for produktlansering i ulike regioner, men det er lite konkret informasjon om forventet inntekt eller antall kunder. Forventet sysselsetting er nevnt, men kunne vært mer detaljert."
Kapning,Hvor tydelig er det at prosjektet bygger opp under selskapets langsiktige ambisjon og strategi?,2,"Søknaden viser en viss sammenheng mellom prosjektet og selskapets langsiktige ambisjoner om å bli en ledende leverandør av nyskapende veivisning og trafikkanalyser i vesten. Det er tydelig at prosjektet er en del av en større strategi for å etablere seg i markedet, men det kunne vært mer detaljert beskrevet hvordan prosjektet konkret bygger opp under selskapets langsiktige mål og strategi."
Kapning,Hvor godt er verdiskapningen for samfunnet beskrevet?,2,"Søknaden beskriver verdiskapning for samfunnet ved å redusere luftforurensning, forbedre trafikkflyt og øke effektiviteten i samfunnet. Det er også nevnt at produktet er miljøvennlig og lokalt produsert, noe som kan bidra til lokal økonomisk vekst. Imidlertid kunne beskrivelsen vært mer detaljert og kvantifisert for å gi en klarere forståelse av den samfunnsmessige verdien."
Kapning,Hvor godt er miljøgevinsten beskrevet?,2,"Søknaden gir en generell beskrivelse av miljøgevinsten ved å redusere unødvendig kjøring og dermed utslipp, samt lengre levetid på produkter. Det nevnes også at løsningen er lokalt produsert, noe som kan redusere miljøpåvirkningen fra transport. Imidlertid kunne beskrivelsen vært mer detaljert og kvantifisert for å gi en tydeligere forståelse av den faktiske miljøgevinsten."
Kapning,"Hvor godt er gevinster som bærekraft, likestilling og mangfold beskrevet?",1,"Søknaden nevner at prosjektet følger åpenhetsloven og FNs bærekraftmål, men gir lite konkret informasjon om hvordan bærekraft, likestilling og mangfold aktivt integreres i prosjektet. Det er noen generelle beskrivelser av miljøeffekter, men mangler detaljer om tiltak for likestilling og mangfold."
Kapning,"Hvor toverig fremstår markedsbeskrivelsen, i både nasjonal og internasjonal perspektiv?",1,"Markedsbeskrivelsen i søknaden er mangelfull og overfladisk. Den gir en viss innsikt i det nasjonale markedet ved å nevne potensielle kunder som stat, kommune og private aktører, men det internasjonale perspektivet er svakt. Det er lite konkret informasjon om markedsstørrelse, vekstpotensial eller konkurranseanalyse, og det mangler detaljer om hvordan de skal trenge inn i internasjonale markeder utover en generell plan om lansering i EU/EØS, UK, Australia og USA."
Kapning,Hvor tydelig og realistisk er forretningsmodellen beskrevet?,2,"Forretningsmodellen er delvis tydelig, med en klar målgruppe og en innovativ løsning som skiller seg fra konkurrentene. Det er imidlertid noen mangler i beskrivelsen av hvordan de skal oppnå økonomisk bærekraft, spesielt med tanke på avhengigheten av ekstern finansiering og manglende detaljer om inntektsstrømmer. Det er også en noe optimistisk vurdering av konkurransesituasjonen."
Kapning,Hvor godt er kundeverdien beskrevet?,3,"Kundeverdien er godt beskrevet. Søknaden tydeliggjør hvordan løsningen adresserer et konkret problem for bilister ved å redusere unødvendig kjøring og dermed spare tid og redusere utslipp. Løsningen er også økonomisk attraktiv ved å være kostnadseffektiv og modulbasert, noe som gjør den lett å administrere for kunden. Det er også nevnt at produktet er ""open source"", noe som gir ekstra verdi ved å være kompatibelt med andre systemer."
Kapning,Hvor godt er interaksjon med kunder beskrevet som en del av prosjektet?,1,"Søknaden gir begrenset informasjon om interaksjon med kunder. Det nevnes at to enheter er i drift hos en kunde, men det er lite detaljert beskrivelse av hvordan kundene involveres i utviklingsprosessen eller hvordan tilbakemeldinger fra kunder håndteres for å forbedre produktet. Det er behov for mer konkret informasjon om kundedialog og brukerinvolvering."
