Kategori,Spørsmål,Score,Kommentar
Problemløsning og marked,"Hvor godt er problemet/behovet/dagens situasjon beskrevet, inkludert dagens alternative løsninger?",3,"Problemet med partikkelutslipp fra vedfyring er godt beskrevet med relevante statistikker og kilder, inkludert helse- og miljøpåvirkninger. Dagens alternative løsninger og deres begrensninger er også tydelig forklart, noe som gir et klart bilde av behovet for en ny løsning."
Problemløsning og marked,Hvor godt er løsningsbeskrivelsen beskrevet og er den tydelig avgrenset?,2,"Løsningsbeskrivelsen gir en god oversikt over hvordan verktøyet fungerer og hva det skal oppnå, men den kunne vært mer presis og strukturert for å tydeligere avgrense løsningen. Det er en del tekniske detaljer og referanser til standarder, men det mangler en klar og konsis oppsummering av hvordan løsningen skiller seg fra eksisterende alternativer."
Problemløsning og marked,Hvor godt er FoU-utfordringer knyttet til løsningen beskrevet?,2,"Søknaden beskriver FoU-utfordringer knyttet til utviklingen av et verktøy for å redusere partikkelutslipp ved vedfyring. Det er en viss grad av detaljert beskrivelse av tekniske utfordringer, som behovet for å optimalisere trekkforhold og digitalisering av styringssystemet. Det er imidlertid rom for forbedring i å tydeliggjøre spesifikke FoU-utfordringer og hvordan de skal adresseres i prosjektet. Dokumentasjonen av tidligere tester gir et godt grunnlag, men det kunne vært mer konkret om hvordan FoU vil bli gjennomført i praksis."
Problemløsning og marked,Hvor godt er det forklart hvorfor FoU-utfordringer ikke er løst tidligere?,2,"Søknaden gir en viss forklaring på hvorfor FoU-utfordringene ikke er løst tidligere, ved å nevne at det har tatt tre år med arbeid og at pandemien har forsinket fremdriften. Det nevnes også at kunnskapen som er oppnådd gjennom tester på et polsk universitet ikke var kjent tidligere. Imidlertid kunne søknaden vært mer spesifikk om hvilke konkrete hindringer eller begrensninger som har gjort det vanskelig å løse utfordringene tidligere."
Problemløsning og marked,Hvor godt er dagens konkurrenter og konkurransebilde beskrevet?,2,"Søknaden gir en viss innsikt i konkurransebildet ved å nevne noen konkurrenter som ESP-filtre og Jøtuls løsning. Det er imidlertid ikke en grundig analyse av konkurrentenes styrker og svakheter, og det mangler en bredere vurdering av markedet. Det kunne vært mer detaljert informasjon om hvordan Clean Burn Techs løsning skiller seg fra konkurrentene og hvordan de planlegger å posisjonere seg i markedet."
Problemløsning og marked,Hvor godt beskrevet er forskjellene og forbedringene fra dagens alternativer?,3,"Søknaden gir en grundig beskrivelse av forskjellene og forbedringene fra dagens alternativer. Den forklarer hvordan deres verktøy styrer trekkforholdene for å redusere partikkelutslipp, og hvordan dette skiller seg fra eksisterende løsninger som tradisjonelle skorsteinsvifter. Det er også nevnt at deres løsning er patentsøkt og basert på ny kunnskap fra tester ved et anerkjent polsk universitet, noe som understreker innovasjonen og forbedringen i forhold til dagens alternativer."
Problemløsning og marked,Hvor tydelig er de unike aspektene ved løsningen beskrevet (det må være vesentlige forskjeller fra dagens løsninger)?,3,"Søknaden beskriver tydelig de unike aspektene ved løsningen, inkludert en patentsøkt teknologi som styrer forbrenningsprosessen optimalt ved hjelp av en algoritme basert på tid, temperatur og undertrykk. Dette skiller seg vesentlig fra eksisterende løsninger ved å tilby en mer effektiv reduksjon av partikkelutslipp og klimagasser. Dokumentasjon fra tester ved et anerkjent polsk universitet styrker påstanden om løsningens nyhet og effektivitet."
Kapning,"Hvor godt er den kortsiktige effekten av prosjektresultatet for selskapet beskrevet? (kunder, inntekt, arbeidsplasser o.l.)",1,"Søknaden gir en viss indikasjon på potensielle kortsiktige effekter for selskapet, som etablering av et kundegrunnlag og interesse fra investorer. Imidlertid mangler det konkrete detaljer om forventede inntekter, antall nye arbeidsplasser eller spesifikke kundegrupper som vil bli påvirket på kort sikt. Dette gjør det vanskelig å vurdere den umiddelbare effekten av prosjektet på selskapet."
Kapning,"Hvor godt er den langsiktige effekten av prosjektresultatet for selskapet beskrevet? (kunder, inntekt, arbeidsplasser o.l.)",2,"Søknaden gir en relativt god beskrivelse av den langsiktige effekten av prosjektet for selskapet, inkludert potensialet for inntektsgenerering og sysselsetting. Det er imidlertid noe uklart hvor konkret og realistisk de langsiktige målene er, spesielt med tanke på markedsadopsjon og konkurransesituasjonen. Mer detaljer om hvordan de planlegger å oppnå disse målene ville styrket søknaden ytterligere."
Kapning,Hvor tydelig er det at prosjektet bygger opp under selskapets langsiktige ambisjon og strategi?,2,"Søknaden viser en klar kobling mellom prosjektet og selskapets langsiktige mål om å utvikle Clean Burn Tech AS til et internasjonalt selskap innen nisjen for ren forbrenningsteknologi. Det er tydelig at prosjektet er en del av selskapets strategi for å oppnå dette, men beskrivelsen kunne vært mer konkret i forhold til hvordan prosjektet spesifikt bygger opp under selskapets overordnede strategi og ambisjoner."
