Kategori,Spørsmål,Score,Kommentar
Problemløsning og marked,"Hvor godt er problemet/behovet/dagens situasjon beskrevet, inkludert dagens alternative løsninger?",3,"Problemet er godt beskrevet med en klar forståelse av ineffektivitet i saksbehandling og informasjonsflyt i SMB-er og offentlige organisasjoner. Dagens situasjon er tydelig forklart, inkludert de nåværende utfordringene med manuell saksbehandling som tar tid og ressurser. Alternative løsninger som eksisterende AI-verktøy er nevnt, og Elentha AI presenteres som en spesialisert og forbedret løsning med lokal tilpasning og støtte for norsk regelverk. Dette gir en sterk forståelse av behovet for deres løsning."
Problemløsning og marked,Hvor godt er løsningsbeskrivelsen beskrevet og er den tydelig avgrenset?,3,"Løsningsbeskrivelsen er svært godt beskrevet og tydelig avgrenset. Søknaden gir en klar forståelse av hvordan Elentha AI fungerer, hvilke problemer den løser, og hvordan den skiller seg fra eksisterende løsninger. Detaljer om teknologien, brukervennligheten, og integrasjonsmuligheter er godt forklart, og det er tydelig hvordan løsningen er tilpasset målgruppen."
Problemløsning og marked,Hvor godt er FoU-utfordringer knyttet til løsningen beskrevet?,2,"Søknaden beskriver FoU-utfordringer knyttet til løsningen ved å fokusere på utviklingen av en AI-basert rådgiver og kunnskapsplattform for informasjonsinnhenting og saksbehandling. Den nevner bruk av Retrieval-Augmented Generation (RAG) og integrasjon med eksisterende systemer, men mangler en dypere teknisk beskrivelse av spesifikke forsknings- og utviklingsutfordringer som må overvinnes. Det er en god start, men kunne vært mer detaljert."
Problemløsning og marked,Hvor godt er det forklart hvorfor FoU-utfordringer ikke er løst tidligere?,1,"Søknaden forklarer ikke tydelig hvorfor FoU-utfordringer ikke har blitt løst tidligere. Det er ingen spesifikk diskusjon om tidligere forsøk eller barrierer som har hindret løsningen av disse utfordringene. Det er viktig å gi en klarere redegjørelse for hvorfor tidligere løsninger ikke har vært tilstrekkelige, og hva som gjør denne tilnærmingen unik i forhold til tidligere forsøk."
Problemløsning og marked,Hvor godt er dagens konkurrenter og konkurransebilde beskrevet?,1,"Søknaden nevner noen konkurrenter, som Microsoft med deres Copilot, men gir en begrenset analyse av konkurransebildet. Det er lite konkret informasjon om hvordan Elentha AI skiller seg fra andre aktører, og det er uklart hvilke spesifikke konkurrenter som finnes i markedet. En mer detaljert konkurrentanalyse med navn og beskrivelse av konkurrentenes løsninger ville styrket vurderingen."
Problemløsning og marked,Hvor godt beskrevet er forskjellene og forbedringene fra dagens alternativer?,3,"Søknaden gir en grundig og klar beskrivelse av forskjellene og forbedringene fra dagens alternativer. Den fremhever hvordan Elentha AI skiller seg fra generiske AI-verktøy ved å tilby en spesialisert, lokal løsning som er tilpasset norske lover og regelverk. Den beskriver også hvordan løsningen effektiviserer saksbehandling og informasjonsflyt på en måte som tradisjonelle systemer ikke kan, og gir konkrete eksempler på hvordan dette gir verdi til kundene."
Problemløsning og marked,Hvor tydelig er de unike aspektene ved løsningen beskrevet (det må være vesentlige forskjeller fra dagens løsninger)?,3,"Søknaden beskriver tydelig de unike aspektene ved Elentha AI-løsningen. Den skiller seg fra eksisterende AI-verktøy ved å tilby ferdig tilpasset, trygg og etterprøvbar saksbehandling med lokal lagring og støtte for norsk regelverk. Løsningen bruker Retrieval-Augmented Generation (RAG) for å sikre at svarene er relevante og oppdaterte, og den kan integreres med kundens egne systemer. Dette gir en betydelig forskjell fra generiske AI-verktøy som GPT og Copilot, og representerer en ny måte å bruke AI i offentlig og privat sektor."
Kapning,"Hvor godt er den kortsiktige effekten av prosjektresultatet for selskapet beskrevet? (kunder, inntekt, arbeidsplasser o.l.)",2,"Søknaden beskriver kortsiktige effekter som potensielle pilotkunder og ferdig produkt klart for testing, men mangler konkrete tall på forventet inntekt eller antall arbeidsplasser som vil bli skapt. Det er en god beskrivelse av potensielle kunder og markedsaksept, men mer spesifikke estimater ville styrket vurderingen."
Kapning,"Hvor godt er den langsiktige effekten av prosjektresultatet for selskapet beskrevet? (kunder, inntekt, arbeidsplasser o.l.)",2,"Søknaden beskriver en ambisiøs langsiktig effekt for selskapet, med mål om å bli en ledende leverandør av spesialiserte AI-løsninger i Skandinavia og Europa. De planlegger å ha 250+ betalende kunder innen fem år og bygge et team på ti ansatte. Det er imidlertid begrenset informasjon om konkrete strategier for å oppnå disse målene, og det mangler detaljer om hvordan de vil sikre inntektsstrømmer og arbeidsplasser utover pilotfasen."
Kapning,Hvor tydelig er det at prosjektet bygger opp under selskapets langsiktige ambisjon og strategi?,3,"Søknaden viser en klar sammenheng mellom prosjektet og selskapets langsiktige ambisjoner og strategi. Prosjektet med AI-drevet informasjonsflyt og saksbehandling er tydelig integrert i Elentha AS sin visjon om å bli en ledende leverandør av spesialiserte AI-løsninger for offentlig sektor og SMB-markedet. Det er også tydelig at prosjektet er en del av selskapets strategi for vekst og internasjonal ekspansjon, med mål om å nå 250+ betalende kunder i Skandinavia og Europa innen fem år."
