Kategori,Spørsmål,Score,Kommentar
Problemløsning og marked,"Hvor godt er problemet/behovet/dagens situasjon beskrevet, inkludert dagens alternative løsninger?",3,"Problemet er godt beskrevet med klare eksempler på utfordringer som elektrikere og rørleggere møter i dag. Dagens alternative løsninger, som tradisjonelle bor og stanseverktøy, er nevnt, og deres begrensninger er tydeliggjort. Søknaden forklarer hvordan det nye produktet løser disse problemene på en effektiv måte, noe som gir en god forståelse av behovet i markedet."
Problemløsning og marked,Hvor godt er løsningsbeskrivelsen beskrevet og er den tydelig avgrenset?,3,"Løsningsbeskrivelsen er godt beskrevet og tydelig avgrenset. Søknaden gir en klar forståelse av hvordan det spesialtilpassede stegboret med integrert beskyttelsesring løser et spesifikt problem for elektrikere og rørleggere. Den beskriver både funksjonaliteten og fordelene ved produktet, samt hvordan det skiller seg fra eksisterende løsninger på markedet."
Problemløsning og marked,Hvor godt er FoU-utfordringer knyttet til løsningen beskrevet?,1,"Søknaden gir en viss beskrivelse av FoU-utfordringer ved å nevne behovet for finjustering av vinkler, gradering og herdeprosess av stålet, men mangler en dypere teknisk innsikt i spesifikke FoU-utfordringer og hvordan disse skal overvinnes. Det er også lite informasjon om eventuelle teknologiske barrierer eller forskningsmetoder som skal benyttes."
Problemløsning og marked,Hvor godt er det forklart hvorfor FoU-utfordringer ikke er løst tidligere?,1,"Søknaden gir ingen konkret forklaring på hvorfor FoU-utfordringer ikke er løst tidligere. Det er nevnt at det eksisterer et bransjeproblem, men det er ikke utdypet hvorfor dette problemet ikke har blitt adressert før nå. Det mangler en analyse av tidligere forsøk eller barrierer som har hindret løsningen av utfordringene."
Problemløsning og marked,Hvor godt er dagens konkurrenter og konkurransebilde beskrevet?,2,"Søknaden gir en grei oversikt over konkurrentene i markedet, med spesifikke eksempler som Bosch, Milwaukee og Kruge. Det er også en kort beskrivelse av hvordan Bralu Invents produkt skiller seg ut fra konkurrentene. Imidlertid kunne søknaden vært styrket med en mer detaljert analyse av konkurrentenes styrker og svakheter, samt en dypere innsikt i markedets konkurransedynamikk."
Problemløsning og marked,Hvor godt beskrevet er forskjellene og forbedringene fra dagens alternativer?,3,"Søknaden gir en grundig beskrivelse av forskjellene og forbedringene fra dagens alternativer. Den fremhever hvordan det innovative stegboret med integrert beskyttelsesring kombinerer boring og montering i én operasjon, noe som ikke finnes i dagens marked. Dette gir raskere installasjon, reduserer skader og gir høy presisjon, som er klare forbedringer sammenlignet med eksisterende verktøy. Konkurrentanalysen er også godt dekket, og differensieringen fra konkurrenter som Bosch, Milwaukee og Kruge er tydelig beskrevet."
Problemløsning og marked,Hvor tydelig er de unike aspektene ved løsningen beskrevet (det må være vesentlige forskjeller fra dagens løsninger)?,3,"Søknaden beskriver tydelig de unike aspektene ved løsningen. Det innovative stegbor med integrert beskyttelsesring kombinerer boring og montering i én operasjon, noe som ikke finnes i dagens marked. Dette gir raskere installasjon, reduserer skader, og gir høy presisjon, noe som representerer et klart konkurransefortrinn sammenlignet med eksisterende verktøy. Differensieringen fra konkurrenter er godt forklart, og det er tydelig at løsningen har potensial til å bli en ny bransjestandard."
Kapning,"Hvor godt er den kortsiktige effekten av prosjektresultatet for selskapet beskrevet? (kunder, inntekt, arbeidsplasser o.l.)",2,"Søknaden beskriver et klart potensial for kortsiktige effekter, inkludert planer for salg via grossister i Skandinavia og Europa, noe som kan gi inntekter og skape arbeidsplasser. Imidlertid mangler det konkrete estimater på inntektsøkning og antall arbeidsplasser som vil bli skapt på kort sikt, noe som ville styrket vurderingen."
Kapning,"Hvor godt er den langsiktige effekten av prosjektresultatet for selskapet beskrevet? (kunder, inntekt, arbeidsplasser o.l.)",2,"Søknaden gir en god beskrivelse av de langsiktige målene for prosjektet, inkludert ambisjoner om internasjonal vekst og økt sysselsetting. Det er imidlertid noe mangelfull informasjon om konkrete planer for inntektsgenerering og hvordan de skal oppnå de beskrevne målene, noe som kunne styrket beskrivelsen av den langsiktige effekten ytterligere."
Kapning,Hvor tydelig er det at prosjektet bygger opp under selskapets langsiktige ambisjon og strategi?,3,"Søknaden viser tydelig hvordan prosjektet med det innovative stegboret er en naturlig forlengelse av selskapets langsiktige ambisjon om å etablere seg som en ledende aktør innen spesialverktøy for elektro- og VVS-bransjen. Det er klart at prosjektet støtter selskapets strategi om internasjonal vekst og etablering av produktet som en bransjestandard, med planer om ekspansjon til Europa, USA og Asia."
Kapning,Hvor godt er verdiskapningen for samfunnet beskrevet?,1,"Søknaden nevner at produktet har potensial til å bli en ny bransjestandard og kan føre til økt sysselsetting og eksport, men den gir lite konkret informasjon om hvordan dette vil skape verdiskapning for samfunnet utover bedriftens egne mål. Det mangler en grundigere analyse av samfunnsøkonomiske effekter og miljømessige fordeler."
Kapning,Hvor godt er miljøgevinsten beskrevet?,0,"Søknaden inneholder ingen spesifikk beskrivelse av miljøgevinsten ved prosjektet. Det er ingen informasjon om hvordan produktet bidrar til miljømessige forbedringer, som for eksempel reduksjon av avfall, energibesparelser, eller andre miljøfordeler. En klar og konkret beskrivelse av miljøgevinsten er nødvendig for å kunne gi en høyere score."
Kapning,"Hvor godt er gevinster som bærekraft, likestilling og mangfold beskrevet?",1,"Søknaden nevner samarbeid med seriøse aktører og refererer til FN's bærekraftsmål, men gir ingen konkrete detaljer om hvordan prosjektet bidrar til bærekraft, likestilling eller mangfold. Det er behov for mer spesifikke beskrivelser av hvordan disse aspektene integreres i prosjektet."
Kapning,"Hvor toverig fremstår markedsbeskrivelsen, i både nasjonal og internasjonal perspektiv?",2,"Markedsbeskrivelsen er relativt troverdig med en klar identifisering av målgruppen og et tydelig fokus på Skandinavia og Europa. Det er en god forståelse av bransjeproblemet og hvordan produktet kan løse dette. Imidlertid kunne søknaden ha dratt nytte av mer detaljerte analyser av markedspotensialet og konkurransesituasjonen, spesielt internasjonalt, for å styrke troverdigheten ytterligere."
Kapning,Hvor tydelig og realistisk er forretningsmodellen beskrevet?,2,"Forretningsmodellen er relativt tydelig beskrevet med fokus på produktets unike egenskaper og målgruppen. Det er en klar plan for distribusjon via grossister i elektro- og VVS-bransjen i Skandinavia og Europa. Imidlertid kunne søknaden vært styrket med mer detaljer om prisstrategi, kostnadsstruktur og hvordan de planlegger å håndtere konkurransen fra etablerte aktører. Det er også noe usikkerhet rundt finansieringen, da det er et betydelig finansieringsbehov som ikke er dekket."
Kapning,Hvor godt er kundeverdien beskrevet?,3,"Kundeverdien er godt beskrevet. Søknaden tydeliggjør hvordan produktet løser et spesifikt problem for elektrikere og rørleggere ved å effektivisere hulltaking i stålstendere og tynnplatekonstruksjoner. Det er klart definert hvordan produktet gir en raskere, sikrere og mer kostnadseffektiv løsning, noe som gir en sterk verdi for målgruppen."
Kapning,Hvor godt er interaksjon med kunder beskrevet som en del av prosjektet?,1,"Søknaden gir en generell beskrivelse av kundemålgruppen (elektrikere og rørleggere) og hvordan produktet skal distribueres via grossister. Det mangler imidlertid en detaljert beskrivelse av hvordan interaksjonen med kundene vil foregå, for eksempel gjennom kundeundersøkelser, tilbakemeldinger eller pilotprosjekter. Det er også lite informasjon om hvordan kundens behov er kartlagt og hvordan de vil bli involvert i utviklingsprosessen."
Gjennomføringsevne,"Hvor godt er selskapets nåværende situasjon, målsetting og strategi beskrevet?",2,"Søknaden gir en god beskrivelse av selskapets nåværende situasjon, målsettinger og strategi. Det er tydelig at selskapet har identifisert et spesifikt problem i markedet og har utviklet en løsning for dette. De har også langsiktige mål om internasjonal ekspansjon og har allerede tatt konkrete skritt for å utvikle produktet videre. Imidlertid kunne søknaden vært styrket med mer detaljer om selskapets nåværende økonomiske situasjon og en mer omfattende strategi for markedsføring og distribusjon."
Gjennomføringsevne,Hvor tydelig og avgrenset er prosjektet beskrevet?,3,"Prosjektet er svært tydelig og godt avgrenset. Søknaden gir en klar beskrivelse av produktet, målgruppen, markedspotensialet, og de spesifikke aktivitetene som skal gjennomføres i prosjektet. Detaljer om prosjektets mål, aktiviteter, kostnader og tidslinje er klart definert, noe som gir et solid grunnlag for vurdering."
Gjennomføringsevne,Hvor godt er aktivitetene/arbeidspakkene i prosjektet beskrevet?,2,"Aktivitetene i prosjektet er beskrevet med klare mål og tidsrammer, men beskrivelsene kunne vært mer detaljerte. Det er angitt hvem som skal bidra i de ulike aktivitetene, men det mangler spesifikke detaljer om hvordan aktivitetene skal gjennomføres utover de generelle målene. Dette gir en grei oversikt, men det er rom for forbedring i å tydeliggjøre gjennomføringen av hver aktivitet."
Gjennomføringsevne,Hvor godt er roller og ansvar beskrevet?,1,"Rollen og ansvaret er minimalt beskrevet i søknaden. Det er kun én person, Kim Mosen, som er nevnt med spesifikke roller (daglig leder og styrets leder), men det er lite informasjon om hvordan ansvarsområdene er fordelt blant teammedlemmene eller eksterne ressurser. Det er behov for en mer detaljert beskrivelse av hvem som har ansvar for de ulike delene av prosjektet for å gi en klarere forståelse av rollefordelingen."
Gjennomføringsevne,For FoU-prosjekter: hvor godt er håndteringen av disse beskrevet?,2,"Søknaden gir en god beskrivelse av prosjektets mål og aktiviteter, men mangler detaljert informasjon om hvordan FoU-prosessen skal håndteres. Det er nevnt samarbeid med eksterne aktører som Eker Design og Smart Innovation Norway, men det er lite konkret om hvordan forsknings- og utviklingsarbeidet skal struktureres og ledes. Det kunne vært nyttig med mer informasjon om metodikk, milepæler og risikohåndtering for å gi en fullstendig vurdering."
Gjennomføringsevne,Hvor godt er teamets og selskapets erfaring og kompetanse beskrevet?,1,"Søknaden gir begrenset informasjon om teamets erfaring og kompetanse. Det er kun én person, Kim Mosen, nevnt med relevant erfaring innen elektro og VVS, samt salg. Det er positivt at de har ekstern støtte fra Eker Design og Smart Innovation Norway, men det mangler detaljer om teamets samlede kompetanse og erfaring innen produktutvikling og forretningsdrift. Dette gjør det vanskelig å vurdere teamets evne til å gjennomføre prosjektet."
Gjennomføringsevne,"Hvis dere har partnere eller kunder som er en del av prosjektet, hvor godt beskrevet er disse inkludert bidrag under og etter prosjektet?",2,"Søknaden beskriver at Bralu Invent har etablert kontakt med flere relevante aktører, inkludert en investor fra VVS-bransjen, Eker Design for teknisk utvikling, og bransjeaktørene Castor AS og VIX AS som viser interesse for distribusjon. Det er også nevnt samarbeid med Smart Innovation Norway og Future Materials for prototyputvikling. Imidlertid kunne søknaden vært mer detaljert om de spesifikke bidragene fra disse partnerne under og etter prosjektet, samt eventuelle formelle avtaler eller intensjoner om samarbeid."
Gjennomføringsevne,Hvor gode forutsetninger har selskapet for å kunne realisere 'go-to-market'-planer? f.eks. etablering av kanaler til markedet?,2,"Bralu Invent AS har en klar plan for å nå markedet gjennom etablerte grossister i elektro- og VVS-bransjen i Skandinavia og Europa. De har også fått med en investor med bransjeerfaring og har etablert kontakter med potensielle distributører. Imidlertid er selskapet nylig etablert og har ingen ansatte, noe som kan begrense gjennomføringsevnen. Videre er det ikke dokumentert konkrete salgsinntekter eller forpliktende avtaler med distribusjonspartnere, noe som gir noe usikkerhet rundt realiseringen av 'go-to-market'-planene."
Gjennomføringsevne,"Hvis dere har leverandører, hvor godt er disse og deres fortinn beskrevet?",1,"Søknaden gir ingen spesifikk informasjon om leverandørene eller deres fortinn. Det nevnes kun generelt at de samarbeider med seriøse aktører med gode etiske retningslinjer, men det mangler detaljer om hvem leverandørene er, hva de leverer, og hvilke konkurransefordeler de eventuelt har."
Gjennomføringsevne,Hvor godt er finansieringsplanen under og etter prosjektet beskrevet i tekst og vedlegg? Er dere tydelig likviditet i perioden?,1,"Finansieringsplanen er mangelfullt beskrevet. Det er lite informasjon om likviditet i prosjektperioden og hvordan finansieringen skal dekke de totale kostnadene på 1 700 000 NOK. Det er kun 250 000 NOK i bekreftet finansiering fra en investor, og det er uklart hvordan resten av finansieringsbehovet på 1 450 000 NOK skal dekkes. Det er heller ikke vedlagt tilstrekkelig dokumentasjon som bekrefter finansieringskildene."
Gjennomføringsevne,Hvor godt kommer det frem at selskapet har spesifikke fordeler som gjør selskapet spesielt egnet til å forvalte investeringen?,2,"Søknaden viser at Bralu Invent AS har en spesifikk fordel i form av et innovativt produkt som kombinerer boring og montering i én operasjon, noe som ikke finnes i dagens marked. De har også fått med en investor med bransjeerfaring og har etablert samarbeid med eksterne ressurser som Eker Design og Smart Innovation Norway. Imidlertid kunne søknaden vært styrket med mer informasjon om tidligere suksesser, salgsinntekter eller konkrete partnerskapsavtaler som demonstrerer selskapets evne til å forvalte investeringen effektivt."
Statsstøtte-effekt av støtte fra Innovasjon Norge,Hvor godt kommer det frem at dere er avhengig av støtte/lån for å realisere/akselerere prosjektet?,2,"Søknaden nevner at det er behov for økonomisk støtte for å gjennomføre neste fase og møte etterspørselen fra markedet. Det er også spesifisert et finansieringsbehov på 1 450 000 NOK, og det er allerede sikret en investering på 250 000 NOK fra en ekstern investor. Dette indikerer en viss avhengighet av støtte for å realisere prosjektet, men det kunne vært tydeligere forklart hvordan denne støtten er avgjørende for prosjektets fremdrift og suksess."
Statsstøtte-effekt av støtte fra Innovasjon Norge,Hvor godt er teknisk risiko beskrevet i søknaden?,1,"Søknaden beskriver ikke teknisk risiko på en tilstrekkelig detaljert måte. Det er ingen spesifikk vurdering av potensielle tekniske utfordringer eller usikkerheter knyttet til utviklingen av produktet. For å forbedre vurderingen, bør søknaden inkludere en grundigere analyse av tekniske risikoer og hvordan de planlegges håndtert."
Statsstøtte-effekt av støtte fra Innovasjon Norge,Hvor godt er markeds-/kommersiell risiko beskrevet i søknaden?,1,"Søknaden gir en overordnet beskrivelse av markeds-/kommersiell risiko ved å nevne konkurrenter og markedsaksept, men mangler en grundig analyse av spesifikke risikoer knyttet til markedspenetrasjon, prissetting, og konkurransefortrinn. Det er behov for en mer detaljert vurdering av potensielle utfordringer i markedet."
